ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
73695227,07/14/2010,261,ARSON 1,114,ARSON,PL 1502001,F,Q,113,0,18-24,M,BLACK,1046405.0,187113.0,40.680048726000045,-73.77590919399995
73621981,07/11/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,75,0,25-44,M,WHITE HISPANIC,1019084.0,183993.0,40.671634710000035,-73.87442765599997
73565818,07/07/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,77,97,45-64,F,BLACK,1003508.0,185056.0,40.67459999000005,-73.93057482199998
73374951,06/24/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,66,0,25-44,M,WHITE HISPANIC,989836.0,170600.0,40.63494060700003,-73.97987543699998
73374959,06/23/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,66,97,<18,M,BLACK HISPANIC,990047.0,170785.0,40.635448257000064,-73.97911505899998
73374948,06/23/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,66,0,25-44,M,WHITE HISPANIC,990076.0,170587.0,40.63490477000005,-73.97901074299993
73374955,06/23/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,66,0,<18,M,WHITE,990601.0,171306.0,40.636877912000045,-73.97711852599997
73375006,06/23/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,72,97,25-44,M,BLACK HISPANIC,982573.0,172037.0,40.638886469000056,-74.00604392399998
72107386,04/07/2010,261,ARSON 1,114,ARSON,PL 150201T,F,S,122,0,18-24,M,WHITE,948191.0,146485.0,40.56867825300003,-74.12979090799998
71691807,03/10/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,66,97,<18,M,BLACK,988696.0,165176.0,40.62005351100004,-73.98398635699994
71579160,03/03/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,68,97,18-24,M,WHITE HISPANIC,978016.0,171958.0,40.638667594000026,-74.02246340399995
71579450,03/03/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,97,18-24,M,WHITE HISPANIC,987309.0,190698.0,40.69010641500005,-73.98897094299997
71579271,03/03/2010,261,ARSON 1,114,ARSON,PL 150201X,F,K,60,2,25-44,M,BLACK,985681.0,148951.0,40.57552015600004,-73.99485022199997
71579472,03/03/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,66,97,18-24,M,WHITE HISPANIC,990076.0,170587.0,40.63490477000005,-73.97901074299993
71560466,03/02/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,97,18-24,M,WHITE HISPANIC,987788.0,191924.0,40.693471325000075,-73.98724306499997
70968171,01/27/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,81,97,18-24,M,BLACK,1001997.0,192086.0,40.69389889200004,-73.93600357999998
70967887,01/27/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,90,0,18-24,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998
